city_id,city
1318,Liverpool
1319,Ridley Park
1320,Vails Gate
1321,Paramount
1322,Earth City
1323,Petoskey
1324,Grants
1325,Broomall
1326,Chattahoochee
1327,Fultondale
1328,Moberly
1329,Nashua
1330,Mc Calla
1331,Chamberlain
1332,Ravenna
1333,Lambertville
1334,Finksburg
1335,Macedonia
1336,Perkasie
1337,Tunkhannock
1338,Westover
1339,Cartersville
1340,Pigeon Forge
1341,Elk City
1342,Westminster
1343,Skokie
1344,Hebron
1345,Wayzata
1346,Cashmere
1347,Cuyahoga Falls
1348,Port Lavaca
1349,Palmer
1350,Caro
1351,Arroyo Grande
1352,Fairborn
1353,Mountain Home
1354,Metter
1355,Danville
1356,Mabank
1357,Allendale
1358,Selma
1359,East Hanover
1360,West Plains
1361,Marana
1362,Miamisburg
1363,Cornelius
1364,Cowpens
1365,Oakdale
1366,Fountain
1367,Hermiston
1368,Jessup
1369,Orland Park
1370,Walnut
1371,Brighton
1372,Grand Rapids
1373,Ridgefield
1374,Heath
1375,Eaton
1376,Bridgewater
1377,Harrisonville
1378,Langhorne
1379,La Marque
1380,Greenville
1381,Harbor City
1382,Middlefield
1383,Los Lunas
1384,Watkinsville
1385,Hayesville
1386,Mission
1387,Cut Bank
1388,North Vernon
1389,Russellville
1390,Owensville
1391,Glendive
1392,Ridgeway
1393,Hidalgo
1394,Fairhaven
1395,Tucker
1396,Lexington
1397,Falling Waters
1398,Boulder
1399,Fort Pierce
1400,Glenwood
1401,McCall
1402,Sullivan
1403,Fox Lake
1404,Coos Bay
1405,Edwardsville
1406,Ventura
1407,Essex
1408,Antlers
1409,Glens Falls
1410,Fruitport
1411,Highlands
1412,New Lebanon
1413,Cave Creek
1414,McDonough
1415,Saint Francis
1416,Prescott Valley
1417,Holton
1418,Sacramento
1419,Clarkesville
1420,Kansas City
1421,Altoona
1422,Arden
1423,Morrison
1424,Barboursville
1425,Toppenish
1426,Nashville
1427,Haleiwa
1428,Toomsuba
1429,Timmonsville
1430,Harlingen
1431,Poquoson
1432,Champaign
1433,Gardendale
1434,Joliet
1435,Charlotte
1436,Murrells Inlet
1437,Oak Grove
1438,Southington
1439,Hempstead
1440,Atlanta
1441,Erwin
1442,Westbury
1443,Leawood
1444,Folkston
1445,Ticonderoga
1446,Nampa
1447,Point Pleasant
1448,Meriden
1449,Cranberry Township
1450,Clarion
1451,Manning
1452,South Lebanon
1453,Paragould
1454,Cameron
1455,Lehighton
1456,Rossville
1457,Valley City
1458,Millersville
1459,San Bernardino
1460,Walterboro
1461,Delta
1462,Sparks
1463,Mount Carmel
1464,San Clemente
1465,Quakertown
1466,Pooler
1467,Ogallala
1468,Vacherie
1469,Scranton
1470,Depew
1471,Ephrata
1472,Ocoee
1473,Saint Augustine
1474,Mansura
1475,Salinas
1476,Liberal
1477,Saint Albans
1478,Springerville
1479,Gurnee
1480,Cooperstown
1481,Lynchburg
1482,Apex
1483,Fairfax
1484,Maurice
1485,Benson
1486,Blue Springs
1487,Cabool
1488,Dixon
1489,Wildwood
1490,Rolling Fork
1491,Jersey City
1492,Webb City
1493,Parker City
1494,Diamond Bar
1495,Bonner Springs
1496,Hales Corners
1497,Morgan Hill
1498,Morris
1499,West Frankfort
1500,Colville
1501,Chapel Hill
1502,Rigby
1503,Cambridge
1504,Silver Spring
1505,Laughlin
1506,Kennewick
1507,Far Rockaway
1508,Owens Cross Roads
1509,South Ozone Park
1510,Olivet
1511,Bucyrus
1512,Inglis
1513,Santa Maria
1514,Anderson
1515,Sandwich
1516,Saint John
1517,Glen Rose
1518,Medford
1519,Wyoming
1520,Glen Carbon
1521,Girard
1522,Denison
1523,Coffeyville
1524,Ashburn
1525,Rittman
1526,Dunedin
1527,Lovington
1528,Midland
1529,Delavan
1530,Mammoth Lakes
1531,Woodland
1532,Arvada
1533,Reading
1534,Tarpon Springs
1535,Claremore
1536,Newnan
1537,Lubbock
1538,Portales
1539,La Quinta
1540,Murfreesboro
1541,Bloomingdale
1542,Forest Grove
1543,Richland Center
1544,Etters
1545,Sergeant Bluff
1546,Minooka
1547,Dayton
1548,Rogue River
1549,Waddy
1550,Moosic
1551,Canton
1552,Signal Mountain
1553,Merrick
1554,Thorndale
1555,Arlington
1556,Talladega
1557,Las Vegas
1558,Lillington
1559,Corinth
1560,Hartwell
1561,Holt
1562,Neoga
1563,Burnham
1564,Victorville
1565,Derry
1566,Kerrville
1567,Oconto Falls
1568,Mogadore
1569,Jordan
1570,Larose
1571,Bainbridge
1572,Massillon
1573,Muscle Shoals
1574,Susanville
1575,Taunton
1576,Bell Gardens
1577,Elmont
1578,Racine
1579,Saint Clair
1580,Westville
1581,Bourbonnais
1582,Bessemer
1583,Prospect
1584,Lincoln
1585,Colton
1586,Rogersville
1587,South Point
1588,Belle Vernon
1589,Three Rivers
1590,Eastpointe
1591,Carrizo Springs
1592,Abington
1593,Hartland
1594,Melrose
1595,New Hope
1596,Selmer
1597,Cropseyville
1598,Galveston
1599,Yerington
1600,Saltville
1601,Dravosburg
1602,Los Banos
1603,Galion
1604,Meyersdale
